Company Common Name;Country of Headquarters;TRBC Business Sector Name;Current Ratio;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
Siemens AG;Germany;Industrial Conglomerates;1,34846;0,420100378;0,704396183;2,054889715;0,089952909;0,089952909;3,062094395;1,286387013
Airbus SE;Netherlands;Industrial Goods;0,99898;0,260597251;0,192742543;9,190782123;0,042371056;0,042371056;4,064596102;1,059222569
Schneider Electric SE;France;Industrial Goods;1,34456;0,422366749;1,479928235;1,01288074;0,16072363;0,16072363;4,379292035;1,849667339
Vinci SA;France;Industrial & Commercial Services;0,87502;0,633353631;0,677842898;2,919094941;0,104582128;0,104582128;2,456195169;1,555640128
Safran SA;France;Industrial Goods;1,10279;0,203770965;0,499252217;2,464748048;0,243029591;0,243029591;4,292529489;0,874692875
Deutsche Post AG;Germany;Transportation;1,02479;0,34846842;0,856397398;2,060219989;0,183857414;0,183857414;11,75495916;4,096232041
Compagnie de Saint Gobain SA;France;Cyclical Consumer Products;1,26237;0,622398105;1,135859404;1,506693734;0,097594416;0,097594416;4,086312206;2,543312975
Deutsche Lufthansa AG;Germany;Transportation;0,87269;0,556895457;0,816665155;2,97224381;0,212167921;0,212167921;5,792738522;3,225949769
Bouygues SA;France;Industrial & Commercial Services;1,05282;0,309728834;0,483393058;3,016707236;0,057870247;0,057870247;5,685201174;1,760870728
MTU Aero Engines AG;Germany;Industrial Goods;1,06135;0,331296117;0,672654096;2,448864266;0,132332116;0,132332116;4,384026997;1,45241112
Thales SA;France;Industrial Goods;1,02626;0,064297949;0,331888006;3,764552898;0,045841369;0,045841369;15,97011012;1,026845321
Wolters Kluwer NV;Netherlands;Industrial & Commercial Services;0,73183;0,765613243;0,838224229;2,80475763;0,239277652;0,239277652;2,146437346;1,643340858
Legrand SA;France;Industrial Goods;1,28099;1,017747581;1,704179535;1,277171024;0,292855672;0,292855672;2,233694773;2,273337451
Ferrovial SA;Spain;Industrial & Commercial Services;1,37876;0,931663153;0,68250031;3,177721243;0,056182562;0,056182562;0,685835996;0,638968126
Teleperformance SE;France;Industrial & Commercial Services;1,47425;1,009461426;1,390101892;1,35078534;0,227074236;0,227074236;3,01369863;3,042212518
Air France KLM SA;France;Transportation;0,75145;1,088430117;0,265842349;11,44310631;0,017995142;0,017995142;2,623694087;2,855707662
Alstom SA;France;Industrial Goods;0,91685;0,166499785;0,482906594;2,923578199;0,052209984;0,052209984;6,310996564;1,050779574
