code name ;Company Common Name;Instrument Type;Asset Category Code;ISIN Code;Exchange Name;Ticker Symbol;Currency Code;Country of Headquarters;TRBC Business Sector Name;Return On Equity - Actual;Return On Assets - Actual;Total Revenue;Normalized EBIT;Normalized EBITDA;Net Income Incl Extra Before Distributions;Depreciation And Amortization;Selling/General/Administrative Expense, Total;Total Current Assets;Total Liabilities;Total Current Liabilities;Total Equity;Net Debt Incl. Pref.Stock & Min.Interest;Total Assets, Reported;Total Long Term Debt;Cash;Cash and Equivalents;Quick Ratio;Current Ratio;Accounts Payable;Total Inventory;Common Stock, Total;Property/Plant/Equipment, Total - Net;Cash from Operating Activities, Cumulative;Capital Expenditures, Cumulative;Cash from Investing Activities, Cumulative;Cash from Financing Activities, Cumulative;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
SIEGn.DE;Siemens AG;Ordinary Shares;ORD;DE0007236101;XETRA;SIE;EUR;Germany;Industrial Conglomerates;12,83;4,17;83044000000;7410000000;10825000000;5807000000;NULL;12941000000;64556000000;93442000000;47874000000;45473000000;14257000000;1,38915E+11;27120000000;NULL;11066000000;1,05842;1,34846;10716000000;13885000000;2550000000;11381000000;8426000000;-2602000000;-3774000000;-1946000000;0,420100378;0,704396183;2,054889715;0,089952909;0,089952909;3,062094395;1,286387013
AIR.PA;Airbus SE;Ordinary Shares;ORD;NL0000235190;NYSE EURONEXT - EURONEXT PARIS;AIR;EUR;Netherlands;Industrial Goods;33,35;2,52;59022000000;1750000000;4036000000;2361000000;NULL;2439000000;55722000000;98709000000;55779000000;10740000000;2603000000;1,09449E+11;14521000000;3672000000;8344000000;0,46586;0,99898;13406000000;29737000000;775000000;16610000000;4444000000;-2558000000;-2530000000;321000000;0,260597251;0,192742543;9,190782123;0,042371056;0,042371056;4,064596102;1,059222569
SCHN.PA;Schneider Electric SE;Ordinary Shares;ORD;FR0000121972;NYSE EURONEXT - EURONEXT PARIS;SU;EUR;France;Industrial Goods;11,8;5,82;24743000000;3483000000;4269000000;2150000000;268000000;5195000000;13377000000;20052000000;9949000000;19797000000;4351000000;39849000000;5650000000;NULL;1652000000;1,0587;1,34456;4148000000;2844000000;2388000000;2490000000;3030000000;-749000000;-1238000000;-1522000000;0,422366749;1,479928235;1,01288074;0,16072363;0,16072363;4,379292035;1,849667339
SGEF.PA;Vinci SA;Ordinary Shares;ORD;FR0000125486;NYSE EURONEXT - EURONEXT PARIS;DG;EUR;France;Industrial & Commercial Services;15,97;3,97;40876000000;4353000000;6481000000;2748000000;2128000000;12224000000;26276000000;51992000000;30029000000;17811000000;14927000000;69803000000;16642000000;NULL;6991000000;0,83985;0,87502;8198000000;1056000000;1478000000;4421000000;4321000000;-1920000000;-3046000000;-1200000000;0,633353631;0,677842898;2,919094941;0,104582128;0,104582128;2,456195169;1,555640128
SAF.PA;Safran SA;Ordinary Shares;ORD;FR0000073272;NYSE EURONEXT - EURONEXT PARIS;SAF;EUR;France;Industrial Goods;21,39;5,69;16376000000;2424000000;3212000000;4550000000;788000000;4652000000;18722000000;23038000000;16977000000;9347000000;-1536000000;32385000000;3815000000;1544000000;1293000000;0,86988;1,10279;2693000000;3954000000;83000000;3518000000;2766000000;-1089000000;-334000000;393000000;0,203770965;0,499252217;2,464748048;0,243029591;0,243029591;4,292529489;0,874692875
DPWGn.DE;Deutsche Post AG;Ordinary Shares;ORD;DE0005552004;XETRA;DPW;EUR;Germany;Transportation;22,87;7,05;60444000000;3838000000;5281000000;2713000000;1443000000;23532000000;14756000000;26035000000;14399000000;12637000000;2561000000;38672000000;5142000000;1735000000;1400000000;1,00208;1,02479;7343000000;327000000;1224000000;8782000000;3297000000;-2203000000;-2091000000;-1087000000;0,34846842;0,856397398;2,060219989;0,183857414;0,183857414;11,75495916;4,096232041
SGOB.PA;Compagnie de Saint Gobain SA;Ordinary Shares;ORD;FR0000125007;NYSE EURONEXT - EURONEXT PARIS;SGO;EUR;France;Cyclical Consumer Products;8,76;3,76;40810000000;2950000000;4156000000;1566000000;NULL;6945000000;16046000000;27461000000;12711000000;18226000000;9353000000;45687000000;9987000000;NULL;3284000000;0,78641;1,26237;6062000000;6050000000;2214000000;14334000000;2766000000;-1722000000;-2033000000;-1117000000;0,622398105;1,135859404;1,506693734;0,097594416;0,097594416;4,086312206;2,543312975
LHAG.DE;Deutsche Lufthansa AG;Ordinary Shares;ORD;DE0008232125;XETRA;LHA;EUR;Germany;Transportation;28,559;6,663;35579000000;3322000000;5610000000;2340000000;2039000000;10709000000;11029000000;26771000000;12638000000;9007000000;2987000000;35778000000;6142000000;NULL;1218000000;0,80092;0,87269;3431000000;907000000;1206000000;17519000000;5368000000;-3338000000;-5006000000;-245000000;0,556895457;0,816665155;2,97224381;0,212167921;0,212167921;5,792738522;3,225949769
BOUY.PA;Bouygues SA;Ordinary Shares;ORD;FR0000120503;NYSE EURONEXT - EURONEXT PARIS;EN;EUR;France;Industrial & Commercial Services;12,77;3,07;32923000000;1519000000;3115000000;1082000000;1596000000;8004000000;18697000000;27265000000;17759000000;9038000000;3279000000;36303000000;5791000000;4137000000;683000000;0,89391;1,05282;7489000000;2822000000;366000000;6658000000;2059000000;-1931000000;-1481000000;-362000000;0,309728834;0,483393058;3,016707236;0,057870247;0,057870247;5,685201174;1,760870728
MTXGn.DE;MTU Aero Engines AG;Ordinary Shares;ORD;DE000A0D9PT0;XETRA;MTX;EUR;Germany;Industrial Goods;24,59;7,215;3897400000;436300000;582500000;355100000;4000000;177800000;2683400000;4420200000;2528300000;1805000000;954100000;6225200000;889000000;NULL;105800000;0,72709;1,06135;307100000;845100000;52000000;735500000;460900000;-305000000;-340800000;-332900000;0,331296117;0,672654096;2,448864266;0,132332116;0,132332116;4,384026997;1,45241112
TCFP.PA;Thales SA;Ordinary Shares;ORD;FR0000121329;NYSE EURONEXT - EURONEXT PARIS;HO;EUR;France;Industrial Goods;19,71;4,27;15227500000;1176600000;1680700000;679800000;113000000;1619000000;14829400000;18528000000;14449900000;4921700000;-2733200000;23449700000;953500000;832200000;3450500000;0,80765;1,02626;2389600000;3158900000;638000000;1819900000;1713300000;-438900000;-607700000;-381200000;0,064297949;0,331888006;3,764552898;0,045841369;0,045841369;15,97011012;1,026845321
WLSNc.AS;Wolters Kluwer NV;Ordinary Shares;ORD;NL0000395903;NYSE EURONEXT - EURONEXT AMSTERDAM;WKL;EUR;Netherlands;Industrial & Commercial Services;27,03;7,72;4368000000;808000000;1204000000;636000000;187000000;1679000000;2658000000;6249000000;3632000000;2228000000;2057000000;8477000000;2035000000;573000000;NULL;0,70567;0,73183;333000000;95000000;35000000;101000000;940000000;-210000000;-409000000;-60000000;0,765613243;0,838224229;2,80475763;0,239277652;0,239277652;2,146437346;1,643340858
LEGD.PA;Legrand SA;Ordinary Shares;ORD;FR0010307819;NYSE EURONEXT - EURONEXT PARIS;LR;EUR;France;Industrial Goods;15,27;7,14;5520800000;1046800000;1245900000;711200000;NULL;1511600000;2428500000;5285700000;1895800000;4138600000;2242400000;9424300000;2471600000;NULL;823000000;0,88675;1,28099;612900000;747400000;1067200000;622400000;863700000;-144600000;-1802100000;887400000;1,017747581;1,704179535;1,277171024;0,292855672;0,292855672;2,233694773;2,273337451
FER.MC;Ferrovial SA;Ordinary Shares;ORD;ES0118900010;BOLSA DE MADRID;FER;EUR;Spain;Industrial & Commercial Services;10,41;2,49;5152000000;401000000;516000000;453000000;115000000;915000000;8063000000;17487000000;5848000000;5503000000;4538000000;22990000000;7512000000;NULL;4543000000;1,25513;1,37876;393000000;723000000;146000000;694000000;1238000000;-135000000;-468000000;324000000;0,931663153;0,68250031;3,177721243;0,056182562;0,056182562;0,685835996;0,638968126
